"Occupation Title","SOC Code","Employment 2016 (thousands)","Employment 2026 (thousands)","Employment change, 2016-2026 (thousands)","Employment change, 2016-2026 (percent)","Occupational openings, 2016-2026 annual average (thousands)","2017 median annual wage","Typical entry-level education","Education Code","Work experience in a related occupation","Workex Code","Typical on-the-job training","trCode"
"Electrical and electronic equipment assemblers    * Anode Builder* Armature Assembler* Battery Assembler* Battery Builder* Breaker Unit Assembler* Circuit Board Assembler* Computer Assembler* Coping Machine Assembler* Electric Motor Controls Assembler* Electric Sign Assembler* Electrical Assembler* Electrical Controls Assembler* Electronic Assembler* Electronic Sensing Equipment Assembler* Electronic Wirer* Switchbox Assembler* Transformer Assembler* Transformer Maker","=""51-2022""","218.9","173.3","-45.6","-20.8","18.2","N/A","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Electrical and electronics drafters    * Circuit Board Drafter* Electrical Computer Aided Design and Drafting Technician* Electrical Drafter* Electrical Systems Drafter* Electronic Drafter* Printed Circuit Board Drafter","=""17-3012""","27.4","29.3","1.9","6.8","2.6","59,690","Associate's degree","4","None","4","None","6"
"Electrical and electronics engineering technicians    * Electrical Design Technician* Electrical Engineering Technician* Electrical Power Station Technician* Electronic Instrument Testing Technician* Lighting Engineering Technician* Programmable Logic Controller Programmer* Semiconductor Development Technician","=""17-3023""","137.0","139.8","2.7","2.0","12.0","63,660","Associate's degree","4","None","4","None","6"
"Electrical and electronics installers and repairers, transportation equipment    * Locomotive Electrician* Marine Electronics Repairer* Marine Electronics Technician","=""49-2093""","13.9","14.3","0.4","2.9","1.3","60,840","Postsecondary nondegree award","5","None","4","Long-term on-the-job training","3"
"Electrical and electronics repairers, commercial and industrial equipment    * Industrial Aerial Installer* Industrial Robotics Mechanic* Missile Pad Mechanic* Public Address System Mechanic","=""49-2094""","68.3","69.9","1.6","2.4","6.1","57,190","Postsecondary nondegree award","5","None","4","Long-term on-the-job training","3"
"Electrical and electronics repairers, powerhouse, substation, and relay    * Generating Station Mechanic* Power Transformer Repairer* Powerhouse Electrician* Protective Relay Technician* Relay Technician* Substation Electrician* Substation Mechanic","=""49-2095""","23.4","24.3","0.9","3.7","2.1","78,410","Postsecondary nondegree award","5","Less than 5 years","2","Moderate-term on-the-job training","4"
"Electrical engineers    * Electrical Design Engineer* Electrical Engineer* Electrical Systems Engineer* Illuminating Engineer* Power Distribution Engineer","=""17-2071""","188.3","204.5","16.2","8.6","13.9","95,060","Bachelor's degree","3","None","4","None","6"
"Electrical power-line installers and repairers    * Electric Powerline Examiner* Electric Utility Lineworker* Electrical High Tension Tester* Electrical Lineworker* Power Lineworker* Underground Conduit Installer","=""49-9051""","120.9","137.7","16.8","13.9","11.7","69,380","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Electricians    * Chief Electrician* Control Electrician* Electrical Maintenance Worker* Electrical Sign Wirer* House Wirer* Licensed Electrician* Lighting Fixture Installer* Marine Electrician* Master Electrician* Solar Photovoltaic Electrician* Stage Electrician","=""47-2111""","666.9","726.5","59.6","8.9","82.0","54,110","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Electro-mechanical technicians    * Remotely Piloted Vehicle Engineering Technician* Robotics Testing Technician","=""17-3024""","13.8","14.3","0.5","3.5","1.2","56,740","Associate's degree","4","None","4","None","6"
"Electromechanical equipment assemblers    * Electromechanical Assembler* Electromechanical Equipment Assembler* Microwave Oven Assembler* Programmable Logic Controller Assembler* Synchronous Motor Assembler* Vacuum Cleaner Assembler* Vending Machine Assembler","=""51-2023""","45.7","35.9","-9.8","-21.4","3.8","N/A","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Electronic equipment installers and repairers, motor vehicles    * Auto Electrician* Auto Phone Installer* Auto Radio Mechanic* Automotive Electrician* Car Alarm Installer* Car Stereo Installer* GPS Car Navigation Installer* Mobile Electronics Installation Specialist","=""49-2096""","12.1","9.0","-3.1","-25.6","0.7","34,530","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Electronic home entertainment equipment installers and repairers    * Cable Installation Technician* Electric Organ Checker* Electronic Musical Instrument Repairer* Home Stereo Equipment Installer* Home Theater Installer* Satellite Dish Installer* Stereo Equipment Installer* Television Installer* Television Repairer* Wireless Internet Installer","=""49-2097""","31.7","31.7","0.0","0.0","3.3","37,190","Postsecondary nondegree award","5","None","4","Short-term on-the-job training","5"
"Electronics engineers, except computer    * Antenna Engineer* Circuit Design Engineer* Electronic Design Automation Engineer* Electronic Engineer* Electronic Parts Designer* Telecommunication Engineer","=""17-2072""","136.3","141.3","5.1","3.7","9.2","102,180","Bachelor's degree","3","None","4","None","6"
"Elementary school teachers, except special education    * 3rd Grade Reading Teacher* 4th Grade Math Teacher* Elementary School Band Director* Elementary School Teacher* Grades 1 Thru 5 Teacher","=""25-2021""","1,410.9","1,514.9","104.1","7.4","112.8","57,160","Bachelor's degree","3","None","4","None","6"
"Elevator installers and repairers    * Elevator Adjuster* Elevator Constructor* Elevator Installer* Elevator Mechanic* Elevator Repair and Maintenance Technician* Elevator Service Technician* Escalator Installer* Escalator Mechanic* Escalator Service Mechanic* Freight Elevator Erector* Hydraulic Elevator Constructor","=""47-4021""","22.1","24.8","2.7","12.1","3.0","79,480","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Eligibility interviewers, government programs    * Medicare Interviewer* Public Housing Interviewer* Social Security Benefits Interviewer* Unemployment Benefits Claims Taker* Welfare Interviewer","=""43-4061""","143.1","151.6","8.5","6.0","13.6","44,400","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Embalmers    * Anatomical Embalmer* Arterial Embalmer* Embalmer Apprentice* Licensed Embalmer* Restorative Art Embalmer","=""39-4011""","3.7","3.7","0.0","-0.8","0.6","42,780","Associate's degree","4","None","4","Long-term on-the-job training","3"
"Emergency management directors    * Director of Civil Defense* Disaster Response Director* EMS Director* Emergency Management System Director* Emergency Planner* Emergency Planning and Response Manager* Emergency Preparedness Coordinator* Emergency Services Director* Emergency Services Program Coordinator* Public Safety Director","=""11-9161""","10.1","10.9","0.8","7.7","0.9","72,760","Bachelor's degree","3","5 years or more","1","None","6"
"Emergency medical technicians and paramedics    * Ambulance Driver-Paramedic* EMT* EMT-B* EMT-I/85* EMT-I/99* EMT-P* Flight Paramedic* Paramedic","=""29-2041""","248.0","285.4","37.4","15.1","19.4","33,380","Postsecondary nondegree award","5","None","4","None","6"
"Engine and other machine assemblers    * Aircraft Engine Assembler* Assembling Motor Builder* Clutch Housing Assembler* Engine Builder* Gas Turbine Assembler* Generator Assembler* Jet Engine Assembler* Machine Builder* Sewing Machine Assembler* Steam Turbine Assembler* Truck Transmission Assembler* Truck Transmission Builder","=""51-2031""","38.0","31.5","-6.5","-17.2","2.8","43,390","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Engineering teachers, postsecondary    * Aeronautical Engineering Professor* Ceramic Engineering Professor* Chemical Engineering Professor* Civil Engineering Professor* Electrical Engineering Professor* Electronics Engineering Professor* Industrial Engineering Professor* Manufacturing Engineering Professor* Marine Engineering Professor* Mechanical Engineering Professor* Petroleum Engineering Professor","=""25-1032""","47.6","54.6","6.9","14.6","4.5","98,360","Doctoral or professional degree","1","None","4","None","6"
"Engineering technicians, except drafters, all other    * Agricultural Engineering Technicians* Biomedical Engineering Technician* Chemical Engineering Technician* Marine Engineering Technicians* Materials Engineering Technician* Metallurgical Engineering Technician* Nuclear Engineering Technician* Optical Engineering Technician* Ordnance Engineering Technician* Salvage Engineering Technician","=""17-3029""","76.8","80.8","4.0","5.2","7.1","62,230","Associate's degree","4","None","4","None","6"
"Engineers, all other    * Corrosion Control Engineer* Mathematical Engineer* Optical Engineer* Ordnance Engineer* Photonics Engineer* Salvage Engineer","=""17-2199""","132.5","141.0","8.5","6.4","9.5","97,250","Bachelor's degree","3","None","4","None","6"
"English language and literature teachers, postsecondary    * Children's Literature Professor* Composition Professor* Contemporary English Literature Professor* Creative Writing English Professor* Etymology Professor* Medieval English Literature Professor* Seventeenth-Century English Literature Professor* Victorian Literature Professor","=""25-1123""","84.6","92.9","8.3","9.8","7.5","64,910","Doctoral or professional degree","1","None","4","None","6"
"Entertainers and performers, sports and related workers, all other    * Acrobat* Aerialist* Amusement Park Entertainer* Bareback Rider* Baton Twirler* Clown* Comedian* Continuity Director* Fortune Teller* Impersonator* Juggler* Magician* Marionette Performer* Palmist* Professional Poker Player* Prompter* Puppeteer* Rodeo Performer* Story Teller* Stunt Performer* Tumbler* Ventriloquist* Wire Walker","=""27-2099""","26.7","28.9","2.2","8.1","3.2","N/A","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Entertainment attendants and related workers, all other    * Jockey Valet","=""39-3099""","14.6","16.2","1.7","11.4","3.6","24,200","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Environmental engineering technicians    * Air Analysis Engineering Technician* Environmental Remediation Engineering Technician* Environmental Technician* Pollution Control Engineering Technician","=""17-3025""","17.0","19.1","2.2","12.9","1.7","50,230","Associate's degree","4","None","4","None","6"
"Environmental engineers    * Air Pollution Control Engineer* Environmental Engineer* Environmental Remediation Engineer* Hazardous Substances Engineer* Hazardous Waste Management Control Engineer* Pollution Control Engineer* Soil Engineer* Waste Management Engineer* Wastewater Treatment Engineer* Water Treatment Plant Engineer","=""17-2081""","53.8","58.3","4.5","8.3","4.0","86,800","Bachelor's degree","3","None","4","None","6"
"Environmental science and protection technicians, including health    * Air Quality Technician* Environmental Compliance Technician* Environmental Science Technician* Groundwater Monitoring Technician* Infectious Waste Technician* Pollution Control Technician* Public Health Sanitarian Technician* Radon Inspector* Waste Minimization Technician","=""19-4091""","34.6","38.8","4.2","12.1","4.6","45,490","Associate's degree","4","None","4","None","6"
"Environmental science teachers, postsecondary    * Environmental Science Professor* Environmental Science, Management and Policy Professor* Environmental Studies Professor","=""25-1053""","6.9","7.6","0.7","9.6","0.6","76,360","Doctoral or professional degree","1","None","4","None","6"
"Environmental scientists and specialists, including health    * Ecological Modeler* Environmental Analyst* Environmental Scientist* Hazardous Substances Scientist* Health Environmentalist* Water Pollution Scientist* Water Quality Analyst","=""19-2041""","89.5","99.4","9.9","11.1","9.5","69,400","Bachelor's degree","3","None","4","None","6"
"Epidemiologists    * Clinical Epidemiologist* Communicable Disease Specialist* Environmental Epidemiologist* Epidemiology Investigator* Malariologist* Medical Epidemiologist* Pharmacoepidemiologist","=""19-1041""","6.1","6.6","0.5","8.8","0.6","69,660","Master's degree","2","None","4","None","6"
"Etchers and engravers    * Engraver* Glass Etcher* Laser Engraver* Machine Engraver* Metal Engraver* Pantograph Engraver* Rotary Engraver* Rubber Engraver","=""51-9194""","10.6","10.6","0.1","0.6","1.3","30,890","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Excavating and loading machine and dragline operators    * Back Hoe Operator* Backhoe Operator* Dragline Oiler* Earth Moving Equipment Operator* End Loader Operator* Excavator* Excavator Backhoe Operator* Payloader Operator* Shovel Operator* Trenching Machine Operator* Yard Loader Operator","=""53-7032""","50.6","54.7","4.1","8.1","6.1","42,500","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"Executive secretaries and executive administrative assistants    * Executive Assistant","=""43-6011""","685.3","566.2","-119.2","-17.4","54.6","57,410","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Exercise physiologists    * Applied Exercise Physiologist* Clinical Exercise Physiologist* Kinesiotherapist","=""29-1128""","15.1","17.1","2.0","13.1","1.1","49,090","Bachelor's degree","3","None","4","None","6"
"Explosives workers, ordnance handling experts, and blasters    * Blast Setter* Blaster* Dynamite Shooter* Dynamiter* Explosive Ordnance Handler* Explosive Technician* Tier and Detonator* Unexploded Ordnance Quality Control Worker","=""47-5031""","6.3","6.8","0.5","7.1","0.8","49,650","High school diploma or equivalent","7","Less than 5 years","2","Long-term on-the-job training","3"
"Extraction workers, all other    * Dumper Bailer Operator* Sand Filler* Sandfill Operator","=""47-5099""","4.2","4.8","0.7","15.9","0.6","49,230","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Extruding and drawing machine setters, operators, and tenders, metal and plastic    * Wire Drawing Machine Tender* Wire Mill Rover","=""51-4021""","72.3","61.3","-11.0","-15.2","5.6","34,600","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers    * Drawbench Operator* Fiber Machine Tender* Synthetic Filament Extruder","=""51-6091""","20.2","18.3","-1.9","-9.5","2.1","33,470","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders    * Bowling Ball Molder* Brick Maker* Cigarette Stamper* Extrusion Press Operator* Paper Baling Machine Operator* Rubber Extrusion Operator* Sugar Presser* Tuber Operator","=""51-9041""","71.4","67.5","-3.8","-5.4","7.9","33,680","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Fabric and apparel patternmakers    * Clothing Patternmaker* Embroidery Patternmaker* Fabric Pattern Grader","=""51-6092""","5.5","4.6","-0.9","-16.1","0.5","40,460","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Fabric menders, except garment    * Curtain Mender* Fabric Awning Repairer* Hand-Woven Carpet and Rug Mender* Parachute Repairer* Sail Repairer* Tarp Repairer","=""49-9093""","0.7","0.6","0.0","-7.3","0.1","28,640","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Fallers    * Lumberjack* Pulpwood Cutter* Timber Cutter* Timber Faller* Timber Feller","=""45-4021""","7.5","6.3","-1.2","-16.2","0.8","40,690","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Family and general practitioners    * Board Certified Family Physician* Family Medicine Physician* Family Physician* Family Practice Medical Doctor* Family Practice Physician* Family Practitioner* GP Doctor* General Practitioner","=""29-1062""","134.8","154.1","19.2","14.3","5.6","198,740","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Farm and home management advisors    * 4-H Youth Development Specialist* Agricultural Agent* Agricultural Extension Educator* Extension Service Advisor* Family Resource Management Specialist* Family and Consumer Sciences Extension Agent* Farm Business Management Agent* Farm Management Specialist* Feed Management Advisor* Home Economics Expert","=""25-9021""","10.4","11.2","0.8","7.5","1.0","49,510","Master's degree","2","None","4","None","6"
"Farm equipment mechanics and service technicians    * Agricultural Equipment Mechanic* Combine Mechanic* Dairy Equipment Mechanic* Dairy Equipment Repairer* Harvester Mechanic* Irrigation Equipment Mechanic* Milking Machine Mechanic* Tractor Mechanic","=""49-3041""","42.5","45.7","3.2","7.6","4.5","39,340","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Farm labor contractors    * Farm Labor Contractor* Harvesting Contractor","=""13-1074""","3.0","3.2","0.2","8.0","0.3","35,660","No formal educational credential","8","Less than 5 years","2","Short-term on-the-job training","5"
"Farmers, ranchers, and other agricultural managers    * Agricultural Crop Farm Manager* Animal Husbandry Manager* Aquaculture Farm Manager* Beef Farm Operator* Christmas Tree Farm Manager* Dairy Farm Manager* Fish Hatchery Manager* Greenhouse Manager* Hatchery Manager* Orchard Manager","=""11-9013""","1,028.7","1,020.7","-8.0","-0.8","74.3","69,620","High school diploma or equivalent","7","5 years or more","1","None","6"
"Farmworkers and laborers, crop, nursery, and greenhouse    * Cane Cutter* Carrot Harvester* Citrus Picker* Corn Picker* Cotton Picker* Crop Picker* Flower Picker* Greenhouse Transplanter* Harvest Worker* Harvester* Orchard Hand* Orchard Worker* Pecan Gatherer* Pepper Picker* Vineyard Tender","=""45-2092""","503.7","509.2","5.5","1.1","76.8","23,380","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Farmworkers, farm, ranch, and aquacultural animals    * Aquaculture Worker* Barn Hand* Barn Worker* Cattle Brander* Cattle Driver* Chicken Handler* Chicken Vaccinator* Cow Tender* Egg Gatherer* Farrowing Worker* Goat Herder* Groom* Hatchery Worker* Livestock Handler* Poultry Debeaker* Ranch Hand* Sheep Shearer* Shrimp Pond Laborer","=""45-2093""","268.1","258.0","-10.1","-3.8","38.6","25,470","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Fashion designers    * Apparel Designer* Clothes Designer* Clothing Designer* Costume Designer* Custom Furrier* Dance Costume Designer* Dress Designer* Fashion Designer* Hat Designer* Sweater Designer* Uniform Designer","=""27-1022""","23.8","24.4","0.6","2.6","2.3","67,420","Bachelor's degree","3","None","4","None","6"
"Fence erectors    * Chain Link Fence Installer* Fence Builder* Fence Erector* Wire Fence Builder* Wood Fence Installer","=""47-4031""","25.1","27.9","2.7","10.8","3.2","33,320","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Fiberglass laminators and fabricators    * Fiberglass Boat Builder* Fiberglass Fabricator* Fiberglass Grinder* Fiberglass Laminator* Fiberglass Luggage Molder* Fiberglass Machine Operator* Fiberglass Roller* Fiberglass Ski Maker* Fiberglasser","=""51-2091""","19.7","19.4","-0.3","-1.5","2.2","32,290","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"File clerks    * Cut File Clerk* Document Clerk* File Clerk* File Keeper* Index Clerk* Records Clerk","=""43-4071""","135.0","121.0","-14.0","-10.4","14.2","30,120","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Film and video editors    * Cue Selector* Electronic News Gathering Editor* Film Editor* Movie Editor* News Video Editor* News Videotape Editor* Tape Editor* Television News Video Editor* Video Tape Transferrer","=""27-4032""","34.2","40.0","5.8","17.0","4.0","61,180","Bachelor's degree","3","None","4","None","6"
"Financial analysts    * Corporate Financial Analyst* Corporate Securities Research Analyst* Corporate Statistical Financial Analyst* Institutional Commodity Analyst","=""13-2051""","296.1","328.2","32.2","10.9","29.0","84,300","Bachelor's degree","3","None","4","None","6"
"Financial clerks, all other    * Bank Vault Attendant* Bank Vault Clerk* Bank Vault Custodian* Financial Operations Clerk* Financial Reserve Clerk* Safe Deposit Clerk* Safety Deposit Clerk* Vault Teller","=""43-3099""","36.6","40.2","3.6","9.9","4.3","39,970","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Financial examiners    * Bank Compliance Officer* Bank Examiner* Financial Compliance Examiner* Home Mortgage Disclosure Act Specialist* Payroll Examiner* Pension Examiner","=""13-2061""","52.5","57.6","5.1","9.8","4.6","81,690","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Financial managers    * Banking Center Manager* Banking Manager* City Comptroller* City Treasurer* Comptroller* Credit Manager* Financial Director* Financial Officer* Fiscal Manager* International Bank Manager* Residential Mortgage Manager","=""11-3031""","580.4","689.0","108.6","18.7","56.9","125,080","Bachelor's degree","3","5 years or more","1","None","6"
"Financial specialists, all other    * Bail Bondsman* Bondsman* Executor of Estate* Foreign Exchange Trader","=""13-2099""","135.9","149.0","13.1","9.6","13.1","69,520","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Fine artists, including painters, sculptors, and illustrators    * Book Illustrator* Caricature Artist* Comic Artist* Comic Book Artist* Comic Illustrator* Commercial Artist* Concrete Sculptor* Editorial Cartoonist* Fashion Illustrator* Free Lance Artist* Fresco Artist* Glass Artist* Ice Sculptor* Medical Illustrator* Mural Painter* Muralist* Non-Representational Metal Sculptor* Oil Painter* Pattern Illustrator* Political Cartoonist* Portrait Artist* Portrait Painter* Scientific Illustrator* Sketch Artist* Sports Cartoonist* Stained Glass Artist* Water Colorist* Watercolor Artist","=""27-1013""","28.0","29.9","1.9","6.6","2.4","49,520","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Fire inspectors and investigators    * Arson Investigator* CFEI* Certified Fire Investigator* Certified Fire and Explosion Investigator* Certified Vehicle Fire Investigator* Fire Hazard Inspector* Fire Investigator* Fire Prevention Inspector* Fire Safety Inspector","=""33-2021""","12.3","13.2","0.9","7.3","1.4","59,260","Postsecondary nondegree award","5","5 years or more","1","Moderate-term on-the-job training","4"
"Firefighters    * Fire Engine Pump Operator* Fire Equipment Operator* Fire Fighter* Forest Firefighter* Marine Firefighter* Municipal Firefighter* Smoke Jumper* Wildland Firefighter","=""33-2011""","327.3","350.9","23.5","7.2","24.3","49,080","Postsecondary nondegree award","5","None","4","Long-term on-the-job training","3"
"First-line supervisors of construction trades and extraction workers    * Carpenter Supervisor* Drilling Foreman* Electrician Supervisor* Excavating Supervisor* Quarry Boss* Rig Supervisor* Roustabout Crew Leader* Segmental Paving Supervisor* Solar Panel Installation Supervisor","=""47-1011""","602.5","678.3","75.8","12.6","68.5","64,070","High school diploma or equivalent","7","5 years or more","1","None","6"
"First-line supervisors of correctional officers    * Chief Jailer* Correctional Officer Sergeant* Correctional Supervisor* Corrections Sergeant* Prison Guard Supervisor","=""33-1011""","45.2","41.7","-3.5","-7.8","2.5","62,500","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of farming, fishing, and forestry workers    * Animal Caretaker Supervisor* Aquacultural Worker Supervisor* Corn Crop Supervisor* Corral Boss* Cranberry Bog Supervisor* Farm Supervisor* Farrowing Manager* Feed Manager* Fish Hatchery Supervisor* Harvest Crew Supervisor* Harvest Manager* Logging Crew Supervisor* Picking Crew Supervisor* Planting Supervisor* Ranch Hand Supervisor","=""45-1011""","48.7","49.7","0.9","1.9","6.5","46,570","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of fire fighting and prevention workers    * Fire Lieutenant* Municipal Fire Fighting and Prevention Supervisor* Supervising Fire Marshal","=""33-1021""","59.1","63.3","4.2","7.2","4.4","76,170","Postsecondary nondegree award","5","Less than 5 years","2","Moderate-term on-the-job training","4"
"First-line supervisors of food preparation and serving workers    * Banquet Supervisor* Bar Manager* Cafeteria Manager* Dairy Bar Manager* Food Service Supervisor* Head Waiter* Head Waitress* Kitchen Supervisor","=""35-1012""","936.9","1,024.5","87.6","9.3","146.3","31,960","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of helpers, laborers, and material movers, hand    * Material Handling Crew Supervisor* Warehouse Supervisor","=""53-1021""","184.4","200.1","15.7","8.5","21.0","N/A","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of housekeeping and janitorial workers    * Building Cleaning Supervisor* Cleaning Staff Supervisor* Custodial Supervisor* Head Custodian* Head School Custodian* Janitor Supervisor* Maid Supervisor* Maintenance and Custodian Supervisor","=""37-1011""","243.5","267.6","24.1","9.9","30.8","39,230","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of landscaping, lawn service, and groundskeeping workers    * Gardening Supervisor* Greenskeeper Supervisor* Grounds Crew Supervisor* Grounds Foreman* Grounds Maintenance Supervisor* Head Greenskeeper* Horticultural Services Supervisor* Landscape Installation Foreman* Turf and Grounds Supervisor","=""37-1012""","178.3","198.6","20.3","11.4","19.5","47,030","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of mechanics, installers, and repairers    * Automobile Body Repair Supervisor* Body Shop Supervisor* Electronic Maintenance Supervisor* Fleet Maintenance Supervisor* Heating, Ventilation, and Air Conditioning Supervisor* Oil Field Equipment Mechanic Supervisor* Railroad Car Repair Supervisor* Repair Department Supervisor","=""49-1011""","462.2","495.0","32.8","7.1","43.4","64,780","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of non-retail sales workers    * Blood Donor Recruiter Supervisor* Insurance Sales Supervisor* Radio Time Sales Supervisor* Real Estate Sales Supervisor* Stock Broker Supervisor* Telemarketer Supervisor* Telemarketing Manager* Telesales Supervisor","=""41-1012""","405.2","425.2","20.0","4.9","39.0","71,650","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of office and administrative support workers    * Accounts Payable Supervisor* Billing Department Supervisor* Billing Supervisor* Clerical Supervisor* Data Entry Supervisor* Medical Billing Supervisor* Office Services Supervisor* Payroll Supervisor* Records Supervisor* Teller Supervisor* Timekeeping Supervisor","=""43-1011""","1,506.3","1,557.4","51.2","3.4","153.0","55,060","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of personal service workers    * Animal Trainer Supervisor* Caddy Master* Head Butler* Recreation Attendant Supervisor","=""39-1021""","276.1","316.5","40.3","14.6","31.6","37,450","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of police and detectives    * Commanding Officer Homicide Squad* Detective Lieutenant* Detective Supervisor* Police Lieutenant* Traffic Lieutenant* Traffic Sergeant","=""33-1012""","104.7","111.6","6.9","6.6","7.1","87,910","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"First-line supervisors of production and operating workers    * Assembly Line Supervisor* Assembly Supervisor* Die Cast Supervisor* Machine Assembler Supervisor* Machinist Supervisor* Molding Supervisor* Paper Machine Supervisor* Printing Supervisor* Printing Worker Supervisor* Tool Room Supervisor","=""51-1011""","621.4","619.5","-1.8","-0.3","59.3","58,870","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of protective service workers, all other    * Animal Control Supervisor* Animal Cruelty Investigation Supervisor* Security Guard Supervisor* Transportation Security Administration (TSA) Screener Supervisor","=""33-1099""","75.2","78.7","3.5","4.6","7.7","49,430","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of retail sales workers    * Assistant Store Manager* Cashier Manager* Cashier Supervisor* Delicatessen Department Manager* Produce Department Supervisor* Sales Clerk Supervisor* Used Car Sales Supervisor","=""41-1011""","1,532.4","1,590.1","57.7","3.8","168.5","38,550","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of transportation and material-moving machine and vehicle operators    * Crane Crew Supervisor* Dock Operations Supervisor* Gas Station Supervisor* Refuse Collector Supervisor* Truck Driver Supervisor","=""53-1031""","204.2","217.7","13.5","6.6","22.6","N/A","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Fish and game wardens    * Conservation Enforcement Officer* Fish Warden* Fish and Game Warden* Fish and Wildlife Warden* Game Warden* Wildlife Control Agent* Wildlife Officer* Wildlife and Game Protector","=""33-3031""","7.0","7.3","0.3","4.3","0.7","56,410","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Fishing and hunting workers","=""45-3000""","27.0","29.9","2.9","10.8","3.1","28,530","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Fitness trainers and aerobics instructors    * Aerobics Instructor* Certified Personal Trainer* Fitness Trainer* Group Exercise Instructor* Group Fitness Instructor* Personal Fitness Trainer* Personal Trainer* Weight Trainer* Weight Training Instructor* Yoga Instructor* Yoga Teacher","=""39-9031""","299.2","329.2","30.1","10.1","55.0","39,210","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Flight attendants    * Airline Flight Attendant* Airplane Flight Attendant* Flight Steward","=""53-2031""","116.6","128.5","11.9","10.2","14.2","50,500","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"Floor layers, except carpet, wood, and hard tiles    * Composition Floor Layer* Cork Floor Installer* Laminate Floor Installer* Linoleum Installer* Resilient Tile Installer* Shock-Absorption Floor Layer* Vinyl Flooring Installer* Vinyl Installer","=""47-2042""","16.3","17.9","1.6","9.7","1.6","40,040","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Floor sanders and finishers    * Floor Finisher* Floor Refinisher* Floor Sander* Floor Sanding Machine Operator* Floor Scraper* Hardwood Finisher","=""47-2043""","7.3","7.9","0.7","9.5","0.7","36,950","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Floral designers    * Corsage Maker* Floral Arranger* Floral Artist* Floral Decorator* Florist* Florist Designer* Flower Arranger","=""27-1023""","55.0","51.4","-3.5","-6.4","4.5","26,350","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
